Model,Sampler,Tuning Stage,Threshold,ROC-AUC,Accuracy,Precision(1),Recall(1),F1-Score(1),Precision(0),Recall(0),F2-Score,Custom Score,PScore,Customer Retained per $100
LightGBM,RandomOverSampler,Tuned - Rank 2,0.5,0.8331551890873926,0.8345,0.6091954022988506,0.5208845208845209,0.56158940397351,0.8819612590799032,0.9146264908976773,0.5364372469635628,31.732045525148973,19.33101623945857,60.91954022988506
LightGBM,RandomOverSampler,Tuned - Rank 3,0.5,0.8336425794052913,0.8355,0.6101694915254238,0.5307125307125307,0.5676741130091985,0.8839611178614823,0.9133709981167608,0.544904137235116,32.38245950110357,19.758788848130994,61.016949152542374
Logistic Regression,SMOTE,Baseline,0.5,0.7768754887398955,0.7155,0.38904109589041097,0.6977886977886978,0.4995602462620932,0.9031496062992126,0.7200251098556183,0.6022052586938084,27.14684796876578,10.561239483739014,38.9041095890411
Logistic Regression,SMOTE,Tuned - Rank 1,0.5,0.7594096407655729,0.6575,0.3458980044345898,0.7665847665847666,0.4766997708174179,0.9134790528233151,0.6296296296296297,0.616600790513834,26.51601409916266,9.17183636245981,34.58980044345898
Logistic Regression,SMOTE,Tuned - Rank 2,0.5,0.7721589077521281,0.697,0.3751568381430364,0.7346437346437347,0.49667774086378735,0.9102244389027432,0.687382297551789,0.6164948453608248,27.56066206505354,10.339570837454213,37.51568381430364
Logistic Regression,SMOTE,Tuned - Rank 3,0.5,0.7761675388794033,0.714,0.3880597014925373,0.7027027027027027,0.5,0.9041963578780681,0.7168863779033271,0.6046511627906976,27.269060104881003,10.582023324282181,38.80597014925373
KNN,SMOTE,Baseline,0.5,0.7553778740219418,0.7245,0.39285714285714285,0.6486486486486487,0.4893419833178869,0.8923192771084337,0.743879472693032,0.5739130434782609,25.482625482625483,10.011031439602869,39.285714285714285
KNN,SMOTE,Tuned - Rank 1,0.5,0.7388413066379169,0.745,0.41196581196581195,0.5921375921375921,0.48588709677419356,0.8826855123674912,0.7840552416823603,0.5445097153185721,24.394044394044393,10.04951230592256,41.19658119658119
KNN,SMOTE,Tuned - Rank 2,0.5,0.7366457366457366,0.7425,0.41089108910891087,0.6117936117936118,0.491609081934847,0.8866571018651362,0.775894538606403,0.5572963294538944,25.138054345975135,10.329002528296712,41.089108910891085
KNN,SMOTE,Tuned - Rank 3,0.5,0.7609342778834304,0.7465,0.4190938511326861,0.6363636363636364,0.5053658536585366,0.8929088277858177,0.7746390458254865,0.5765805877114871,26.66960870844366,11.177069021823478,41.90938511326861
Decision Tree,SMOTE,Baseline,0.5,0.6713832476544341,0.765,0.43451143451143454,0.5135135135135135,0.47072072072072074,0.869651086240948,0.8292529817953547,0.4954954954954955,22.312749339776367,9.695144723520293,43.45114345114345
Decision Tree,SMOTE,Tuned - Rank 1,0.5,0.7293472208726446,0.769,0.44990892531876137,0.6068796068796068,0.5167364016736402,0.8897312198483804,0.810420590081607,0.5672944418925127,27.30405517290763,12.284338119687039,44.990892531876135
Decision Tree,SMOTE,Tuned - Rank 2,0.5,0.7917000205135799,0.7625,0.446875,0.7027027027027027,0.5463228271251194,0.9110294117647059,0.7777777777777778,0.6305114638447972,31.402027027027028,14.032780827702704,44.6875
Decision Tree,SMOTE,Tuned - Rank 3,0.5,0.7991643415372229,0.7825,0.47594501718213056,0.6805896805896806,0.5601617795753286,0.9083215796897038,0.8085373509102323,0.6266968325791855,32.39232672222363,15.416966498377912,47.59450171821305
Random Forest,SMOTE,Baseline,0.5,0.8473072456123303,0.8395,0.6038647342995169,0.6142506142506142,0.6090133982947625,0.9010088272383354,0.8970495919648462,0.6121449559255632,37.09242839677622,22.39880941834313,60.38647342995169
Random Forest,SMOTE,Tuned - Rank 1,0.5,0.8445479377682766,0.842,0.6213333333333333,0.5724815724815725,0.5959079283887468,0.8929230769230769,0.9108600125549278,0.581627558662007,35.57018837018837,22.100943707343706,62.133333333333326
Random Forest,SMOTE,Tuned - Rank 2,0.5,0.849660137795731,0.8425,0.6144278606965174,0.6068796068796068,0.6106304079110012,0.899874843554443,0.9026993094789705,0.6083743842364532,37.28837385553804,22.911015776910187,61.442786069651746
Random Forest,SMOTE,Tuned - Rank 3,0.5,0.8489938320446795,0.8415,0.6130653266331658,0.5995085995085995,0.6062111801242236,0.8982521847690387,0.9033270558694287,0.6021717670286278,36.75379353771313,22.532476440206043,61.30653266331658
AdaBoost,SMOTE,Baseline,0.5,0.851221791899758,0.7845,0.4811320754716981,0.7518427518427518,0.5867689357622243,0.9259530791788856,0.7928436911487758,0.6757950530035336,36.17356636224561,17.40426306108043,48.113207547169814
AdaBoost,SMOTE,Tuned - Rank 1,0.5,0.8534605483758025,0.8035,0.5125,0.7051597051597052,0.59358841778697,0.9166666666666666,0.8286252354048964,0.6558500914076782,36.13943488943489,18.521460380835382,51.24999999999999
AdaBoost,SMOTE,Tuned - Rank 2,0.5,0.8541206846291591,0.8045,0.5144927536231884,0.6977886977886978,0.5922836287799792,0.9150552486187845,0.8317639673571877,0.6513761467889908,35.900722857244595,18.47066175988671,51.449275362318836
AdaBoost,SMOTE,Tuned - Rank 3,0.5,0.8520238266000978,0.7895,0.48841059602649006,0.7248157248157249,0.5835806132542037,0.9197707736389685,0.8060263653483992,0.66084229390681,35.40076801666206,17.290110206813424,48.841059602649004
XGBoost,SMOTE,Baseline,0.5,0.8313259330208485,0.796,0.49914236706689535,0.714987714987715,0.5878787878787879,0.918136908962597,0.8166980539861896,0.6580732700135685,35.68806604827188,17.813425763374127,49.914236706689536
XGBoost,SMOTE,Tuned - Rank 1,0.5,0.8607482675279287,0.8285,0.5637450199203188,0.6953316953316954,0.6226622662266227,0.9172229639519359,0.8625235404896422,0.6643192488262911,39.19897804359957,22.098228658045173,56.37450199203188
